,l1_loss,mse_loss,l1_loss_input,mse_loss_input,pesq_loss,pesq_loss_input,si_sdr_loss,si_sdr_loss_input,stoi,stoi_input,NoiseType
427,1.2962509393692017,2.737489700317383,1.4964666366577148,4.068296909332275,1.0747461318969727,1.0915935039520264,-23.238994598388672,10.249643325805664,0.5669249296188354,0.8532678484916687,WhiteNoise_10_tensors
428,1.7960567474365234,5.1344523429870605,2.5669682025909424,10.91530990600586,1.0829133987426758,1.1349904537200928,-24.442148208618164,10.315752983093262,0.625102162361145,0.8690537810325623,WhiteNoise_10_tensors
429,1.4987202882766724,3.2948989868164062,1.637385606765747,5.675966739654541,1.0781220197677612,1.0656732320785522,-23.115760803222656,9.985404014587402,0.6058719754219055,0.7645752429962158,WhiteNoise_10_tensors
430,1.425062656402588,2.8016321659088135,1.6034971475601196,5.905415058135986,1.114517331123352,1.1045652627944946,-8.171639442443848,9.993732452392578,0.5421860814094543,0.8352253437042236,WhiteNoise_10_tensors
431,1.694840431213379,4.580402851104736,2.310824155807495,9.24323844909668,1.1468077898025513,1.142722487449646,-25.636016845703125,9.99853515625,0.5562041997909546,0.798753559589386,WhiteNoise_10_tensors
432,1.6280194520950317,4.319007396697998,2.0395939350128174,7.198129177093506,1.0556693077087402,1.0540796518325806,-22.62350082397461,9.990408897399902,0.5585681796073914,0.8556740283966064,WhiteNoise_10_tensors
433,1.6783281564712524,4.13151741027832,1.7084376811981201,6.107779026031494,1.0509417057037354,1.0870163440704346,-26.624162673950195,9.998735427856445,0.49026376008987427,0.8645948171615601,WhiteNoise_10_tensors
434,1.7314202785491943,4.587072849273682,2.2684686183929443,9.0272798538208,1.1064282655715942,1.106828212738037,-49.61622619628906,10.179140090942383,0.6586841344833374,0.9330824017524719,WhiteNoise_10_tensors
435,1.2821177244186401,2.4917612075805664,1.528956413269043,5.094317436218262,1.1620349884033203,1.1666064262390137,-38.205055236816406,9.99799919128418,0.6654481291770935,0.7959355711936951,WhiteNoise_10_tensors
436,1.4573782682418823,3.547112226486206,1.9156931638717651,6.3556132316589355,1.0743783712387085,1.0890134572982788,-20.50348472595215,10.930234909057617,0.5980960726737976,0.8299509882926941,WhiteNoise_10_tensors
437,1.6436909437179565,4.08553409576416,2.431514263153076,9.656865119934082,1.1029034852981567,1.103369951248169,-23.88568878173828,10.12752628326416,0.6124850511550903,0.8619074821472168,WhiteNoise_10_tensors
438,1.5313936471939087,3.7091593742370605,2.1379921436309814,7.777706146240234,1.0853352546691895,1.1127967834472656,-28.171646118164062,10.081668853759766,0.6500355005264282,0.8309392929077148,WhiteNoise_10_tensors
439,1.5180656909942627,3.7273447513580322,2.279266119003296,9.18018913269043,1.0908209085464478,1.1398205757141113,-22.423065185546875,10.084747314453125,0.654873788356781,0.9193224906921387,WhiteNoise_10_tensors
440,1.4192701578140259,3.3594868183135986,2.1428945064544678,7.9095611572265625,1.0854986906051636,1.105251669883728,-22.8853816986084,10.371575355529785,0.629656195640564,0.8567876219749451,WhiteNoise_10_tensors
441,1.7616616487503052,4.703413486480713,2.047032594680786,7.764516830444336,1.0555589199066162,1.0717064142227173,-20.357019424438477,11.09231185913086,0.5311850309371948,0.8291842937469482,WhiteNoise_10_tensors
442,1.8096868991851807,4.93350076675415,2.282227039337158,9.684810638427734,1.0615713596343994,1.1156588792800903,-40.02711486816406,9.994857788085938,0.6299200057983398,0.9114401340484619,WhiteNoise_10_tensors
443,1.5362811088562012,3.9298481941223145,1.9981861114501953,7.260026931762695,1.0810097455978394,1.2040119171142578,-43.9317512512207,11.285792350769043,0.6638522744178772,0.868478536605835,WhiteNoise_10_tensors
444,1.4337068796157837,3.1506237983703613,1.761886477470398,6.7592010498046875,1.0791929960250854,1.1423132419586182,-26.66593360900879,9.99396800994873,0.626628041267395,0.8784440159797668,WhiteNoise_10_tensors
445,1.4234353303909302,2.8253722190856934,1.6777915954589844,6.838618755340576,1.0841259956359863,1.1021350622177124,-31.359386444091797,9.964163780212402,0.6734637022018433,0.7400835752487183,WhiteNoise_10_tensors
446,1.584755778312683,3.645169258117676,1.8146382570266724,7.710019588470459,1.0976237058639526,1.1025012731552124,-24.34565544128418,10.000630378723145,0.5629094839096069,0.8898348212242126,WhiteNoise_10_tensors
447,1.6422977447509766,3.8326361179351807,2.0539419651031494,8.665908813476562,1.1544291973114014,1.117508888244629,-22.617223739624023,9.99773120880127,0.5448513031005859,0.676624059677124,WhiteNoise_10_tensors
448,1.6477528810501099,4.211727142333984,2.2917253971099854,8.865070343017578,1.0600993633270264,1.0971052646636963,-24.313261032104492,10.04798412322998,0.48621031641960144,0.8121336102485657,WhiteNoise_10_tensors
449,1.5647696256637573,3.9577622413635254,1.6695650815963745,5.127406597137451,1.056963562965393,1.10785973072052,-37.95764923095703,10.382669448852539,0.6085372567176819,0.9067302346229553,WhiteNoise_10_tensors
450,1.2910175323486328,2.7031362056732178,1.5460705757141113,4.414990425109863,1.1987100839614868,1.1391818523406982,-26.878856658935547,10.011491775512695,0.6800082325935364,0.8333899974822998,WhiteNoise_10_tensors
451,1.5280869007110596,3.581751585006714,2.2230780124664307,8.90839958190918,1.1751437187194824,1.2161760330200195,-20.978469848632812,9.988810539245605,0.5918638110160828,0.7850109934806824,WhiteNoise_10_tensors
452,1.3781347274780273,2.947601556777954,1.6217714548110962,4.508612632751465,1.1304056644439697,1.2087938785552979,-25.167049407958984,10.01419448852539,0.6157466173171997,0.7497040033340454,WhiteNoise_10_tensors
453,1.675612211227417,4.427853107452393,2.429363965988159,9.570880889892578,1.081682801246643,1.1489900350570679,-26.644363403320312,9.992417335510254,0.5434839725494385,0.7495673298835754,WhiteNoise_10_tensors
454,1.788690447807312,4.7111287117004395,2.498995304107666,10.362898826599121,1.0802102088928223,1.1634749174118042,-20.13673973083496,9.993663787841797,0.6303839683532715,0.8450055718421936,WhiteNoise_10_tensors
455,1.557707667350769,3.7486793994903564,2.240619659423828,9.013155937194824,1.1255903244018555,1.194841742515564,-24.378873825073242,9.984389305114746,0.6682685613632202,0.8031500577926636,WhiteNoise_10_tensors
456,1.3775845766067505,3.040438652038574,1.7443022727966309,6.0398640632629395,1.1151517629623413,1.1251542568206787,-24.934730529785156,11.03420639038086,0.5888907313346863,0.8666262030601501,WhiteNoise_10_tensors
