,l1_loss,mse_loss,l1_loss_input,mse_loss_input,l1_loss_cargan_mel,mse_loss_cargan_mel,pesq_loss,pesq_loss_input,pesq_loss_clean,pesq_loss_cargan,pesq_loss_cargan_inverse,si_sdr_loss,si_sdr_loss_input,si_sdr_loss_clean,si_sdr_loss_cargan,si_sdr_loss_cargan_inverse,stoi,stoi_input,stoi_clean,stoi_cargan,stoi_cargan_inverse,NoiseType
2511,1.2511038780212402,2.289637565612793,0.0,0.0,0.19692422449588776,0.1523876041173935,1.1405227184295654,4.643888473510742,4.643888473510742,2.866980791091919,2.6076700687408447,-36.42132568359375,92.49420928955078,92.49420928955078,-10.155301094055176,-10.155302047729492,0.5521227121353149,1.0,1.0,0.9610460996627808,0.9309336543083191,Clean_100
2512,1.0790878534317017,1.8946579694747925,0.0,0.0,0.4086054563522339,0.29829350113868713,1.0978310108184814,4.643888473510742,4.643888473510742,2.183858871459961,1.3931995630264282,-22.05962371826172,99.19137573242188,99.19137573242188,-13.18533706665039,-13.185338020324707,0.5131999850273132,1.0,1.0,0.8883699178695679,0.8924316763877869,Clean_100
2513,0.9278945922851562,1.3982466459274292,0.0,0.0,0.30717507004737854,0.23471872508525848,1.0616308450698853,4.643888473510742,4.643888473510742,2.3554294109344482,2.0092382431030273,-38.20975875854492,95.83322143554688,95.83322143554688,-23.292322158813477,-23.292322158813477,0.5427473783493042,1.0,1.0,0.9217086434364319,0.9187383651733398,Clean_100
2514,1.1393481492996216,1.9539271593093872,0.0,0.0,0.39269593358039856,0.30921879410743713,1.0892715454101562,4.643888473510742,4.643888473510742,2.2920775413513184,1.721104383468628,-40.786705017089844,94.87171936035156,94.87171936035156,-24.388076782226562,-24.388076782226562,0.5551862120628357,1.0,1.0,0.9152106642723083,0.9190502762794495,Clean_100
2515,1.2190433740615845,2.4728286266326904,0.0,0.0,0.42439404129981995,0.3243832290172577,1.0591871738433838,4.643888473510742,4.643888473510742,2.355386734008789,1.8331820964813232,-31.909072875976562,97.09892272949219,97.09892272949219,-17.46124267578125,-17.46124267578125,0.4360486567020416,1.0,1.0,0.901149570941925,0.9018728137016296,Clean_100
2516,1.5461324453353882,3.6266889572143555,0.0,0.0,0.36650028824806213,0.2358887791633606,1.1365585327148438,4.643888473510742,4.643888473510742,2.5825557708740234,2.3828842639923096,-35.53450012207031,94.99971008300781,94.99971008300781,-18.029762268066406,-18.029762268066406,0.6174166798591614,1.0,1.0,0.9520865678787231,0.9521302580833435,Clean_100
2517,1.1557559967041016,2.100853443145752,0.0,0.0,0.38741376996040344,0.2757236659526825,1.1321500539779663,4.643888473510742,4.643888473510742,2.5418787002563477,2.270794153213501,-21.292797088623047,100.84858703613281,100.84858703613281,-37.00344467163086,-37.00344467163086,0.41302967071533203,1.0,1.0,0.7995877861976624,0.8023836016654968,Clean_100
2518,1.040806770324707,1.750643014907837,0.0,0.0,0.4133676290512085,0.29338064789772034,1.0966788530349731,4.643888473510742,4.643888473510742,2.1196749210357666,2.0972249507904053,-25.925769805908203,97.49815368652344,97.49815368652344,-28.46654510498047,-28.46654510498047,0.5272236466407776,1.0,1.0,0.9043390154838562,0.896712064743042,Clean_100
2519,1.0627039670944214,1.7354954481124878,0.0,0.0,0.3985927402973175,0.30292433500289917,1.0676641464233398,4.643888473510742,4.643888473510742,2.32344126701355,1.900498390197754,-27.562175750732422,100.16780853271484,100.16780853271484,-7.840209484100342,-7.8402099609375,0.5268501043319702,1.0,1.0,0.8934544324874878,0.8861046433448792,Clean_100
2520,1.1876626014709473,2.370594024658203,0.0,0.0,0.47194990515708923,0.396933913230896,1.0438152551651,4.643888473510742,4.643888473510742,1.8946259021759033,1.5758107900619507,-40.369476318359375,99.63505554199219,99.63505554199219,-17.461536407470703,-17.461536407470703,0.4878133535385132,1.0,1.0,0.9002510905265808,0.9001654982566833,Clean_100
2521,1.0531399250030518,1.8068913221359253,0.0,0.0,0.33033016324043274,0.24884170293807983,1.1027381420135498,4.643888473510742,4.643888473510742,2.2816967964172363,1.7268171310424805,-25.987512588500977,96.02146911621094,96.02146911621094,-10.203865051269531,-10.203863143920898,0.562781035900116,1.0,1.0,0.8960317969322205,0.8552631139755249,Clean_100
2522,1.1211485862731934,1.980452060699463,0.0,0.0,0.3463907539844513,0.2271016538143158,1.130980134010315,4.643888473510742,4.643888473510742,2.6621551513671875,2.3643999099731445,-28.470849990844727,97.71671295166016,97.71671295166016,-24.23361587524414,-24.233612060546875,0.6129658818244934,1.0,1.0,0.929589569568634,0.9060726165771484,Clean_100
2523,1.4718875885009766,3.489746570587158,0.0,0.0,0.4669124186038971,0.4128243029117584,1.0385663509368896,4.643888473510742,4.643888473510742,1.6417930126190186,1.493485450744629,-44.668540954589844,94.54707336425781,94.54707336425781,-35.768775939941406,-35.768775939941406,0.43530967831611633,1.0,1.0,0.9138330817222595,0.9107850193977356,Clean_100
2524,1.0605007410049438,1.8064727783203125,0.0,0.0,0.35906049609184265,0.25524812936782837,1.0599939823150635,4.643888473510742,4.643888473510742,2.3085594177246094,2.0239365100860596,-25.779287338256836,96.70606994628906,96.70606994628906,-10.409794807434082,-10.409795761108398,0.5559617280960083,1.0,1.0,0.9298547506332397,0.9308469295501709,Clean_100
2525,0.9584137201309204,1.4793556928634644,0.0,0.0,0.36788487434387207,0.2904171347618103,1.082094430923462,4.643888473510742,4.643888473510742,2.173293113708496,1.8572018146514893,-55.13823699951172,97.09720611572266,97.09720611572266,-21.007530212402344,-21.007530212402344,0.43242567777633667,1.0,1.0,0.8930627703666687,0.8831087946891785,Clean_100
2526,1.0458905696868896,1.6334258317947388,0.0,0.0,0.2562626600265503,0.19014780223369598,1.1054476499557495,4.643888473510742,4.643888473510742,2.433842658996582,2.20978045463562,-33.12683868408203,97.71416473388672,97.71416473388672,-24.897396087646484,-24.89739990234375,0.6140413284301758,1.0,1.0,0.8999468088150024,0.8958231806755066,Clean_100
2527,1.3159350156784058,2.728529691696167,0.0,0.0,0.48970481753349304,0.4560687839984894,1.0487905740737915,4.643888473510742,4.643888473510742,1.6488659381866455,1.4664857387542725,-60.0826416015625,95.1722640991211,95.1722640991211,-37.126129150390625,-37.126121520996094,0.529493510723114,1.0,1.0,0.9022874236106873,0.9012522101402283,Clean_100
