,l1_loss,mse_loss,l1_loss_input,mse_loss_input,pesq_loss,pesq_loss_input,si_sdr_loss,si_sdr_loss_input,stoi,stoi_input,NoiseType
0,1.611915946006775,4.383067607879639,2.430356502532959,9.073782920837402,1.0734885931015015,1.0615062713623047,-35.21091842651367,-9.118491172790527,0.391573965549469,0.5613808631896973,Talking_-10_tensors
1,1.3416907787322998,2.924682140350342,2.447624921798706,10.349857330322266,1.0355323553085327,1.0744022130966187,-50.96660232543945,-10.26537036895752,0.3962833881378174,0.48584306240081787,Talking_-10_tensors
2,1.3639761209487915,3.1338632106781006,2.617401599884033,10.465415000915527,1.0478867292404175,1.0499205589294434,-26.74795913696289,-11.121121406555176,0.3462773561477661,0.509250819683075,Talking_-10_tensors
3,1.3316760063171387,2.9924957752227783,1.7405074834823608,5.0592827796936035,1.0412821769714355,1.0519120693206787,-34.168033599853516,-9.046199798583984,0.3915884792804718,0.6364119648933411,Talking_-10_tensors
4,1.534178376197815,3.9648005962371826,1.9264419078826904,6.005495071411133,1.0240534543991089,1.0238618850708008,-31.26375961303711,-12.99453353881836,0.2062062919139862,0.4109886586666107,Talking_-10_tensors
5,1.2715984582901,2.629486083984375,1.940872311592102,7.816900730133057,1.1522897481918335,1.085496425628662,-28.279150009155273,-5.174915790557861,0.4176895320415497,0.4950435757637024,Talking_-10_tensors
6,1.2960206270217896,2.883917808532715,2.616811513900757,12.011094093322754,1.1013251543045044,1.1539968252182007,-56.56479263305664,-5.8724284172058105,0.24299056828022003,0.49342605471611023,Talking_-10_tensors
7,1.4986838102340698,3.5644383430480957,1.4116767644882202,3.2628419399261475,1.058842658996582,1.0746469497680664,-27.01819610595703,-11.543407440185547,0.43452543020248413,0.6093430519104004,Talking_-10_tensors
8,1.4712125062942505,3.416510820388794,1.9359219074249268,7.276197910308838,1.025892972946167,1.0280009508132935,-46.239410400390625,-12.774859428405762,0.3301963806152344,0.5845792293548584,Talking_-10_tensors
9,1.4931594133377075,3.6634433269500732,2.0127944946289062,7.366261005401611,1.0525012016296387,1.050729513168335,-37.946571350097656,-12.4193115234375,0.34020543098449707,0.5005318522453308,Talking_-10_tensors
10,1.3935803174972534,3.1191585063934326,2.155245304107666,8.117036819458008,1.0458006858825684,1.0407297611236572,-45.71961212158203,-8.7725830078125,0.2583458721637726,0.5192139744758606,Talking_-10_tensors
11,1.3823586702346802,3.4083776473999023,2.2110307216644287,8.838310241699219,1.0360714197158813,1.0250396728515625,-43.67749786376953,-11.062681198120117,0.41940027475357056,0.5535800457000732,Talking_-10_tensors
12,1.3585295677185059,3.1697511672973633,1.520046353340149,4.142815113067627,1.0589202642440796,1.1017128229141235,-48.978633880615234,-12.221087455749512,0.36908799409866333,0.5396945476531982,Talking_-10_tensors
13,1.2938365936279297,2.861191987991333,1.3877880573272705,4.621220588684082,1.0533796548843384,1.048543095588684,-41.048973083496094,-15.380937576293945,0.31474921107292175,0.426205575466156,Talking_-10_tensors
14,1.566454529762268,4.01488733291626,3.2239274978637695,14.463171005249023,1.0385435819625854,1.0322670936584473,-11.70650863647461,-14.94836711883545,0.29691436886787415,0.5109274387359619,Talking_-10_tensors
15,1.519561529159546,3.855944871902466,2.121429443359375,7.334098815917969,1.0477968454360962,1.057237148284912,-31.243572235107422,-11.546680450439453,0.4643854796886444,0.5585721135139465,Talking_-10_tensors
16,1.7440316677093506,5.059120178222656,2.337549924850464,9.296903610229492,1.0448646545410156,1.0313211679458618,-41.16916275024414,-12.018472671508789,0.3558521866798401,0.6777828931808472,Talking_-10_tensors
17,1.570104718208313,4.064623832702637,2.2426841259002686,9.175163269042969,1.0587798357009888,1.0942857265472412,-35.95305633544922,-13.566313743591309,0.4124087989330292,0.4801252484321594,Talking_-10_tensors
18,1.8202377557754517,5.126404285430908,2.3966915607452393,7.895125865936279,1.0592344999313354,1.1890822649002075,-21.33625030517578,-5.750227928161621,0.34227266907691956,0.4188532829284668,Talking_-10_tensors
19,2.093909502029419,7.048166275024414,2.7227718830108643,10.366101264953613,1.0594348907470703,1.0983670949935913,-52.68516540527344,-6.941335678100586,0.0879838615655899,0.23611174523830414,Talking_-10_tensors
20,1.1971852779388428,2.2979795932769775,2.2181596755981445,9.78027057647705,1.032323956489563,1.0349640846252441,-38.13409423828125,-13.362724304199219,0.18933387100696564,0.4020790755748749,Talking_-10_tensors
21,1.3397351503372192,2.849479913711548,1.1714847087860107,2.378739595413208,1.0511211156845093,1.1861202716827393,-37.119667053222656,-7.297677993774414,0.3906734585762024,0.7460126876831055,Talking_-10_tensors
22,1.4885709285736084,3.616223096847534,1.7889286279678345,4.824155330657959,1.0518468618392944,1.1503816843032837,-25.274070739746094,-8.260730743408203,0.4163013696670532,0.5841468572616577,Talking_-10_tensors
23,1.6241810321807861,4.26954984664917,1.5953041315078735,4.23382043838501,1.0416619777679443,1.0637792348861694,-31.831058502197266,-7.546689033508301,0.4015076756477356,0.5468171238899231,Talking_-10_tensors
24,1.2311758995056152,2.365309953689575,1.3055672645568848,3.561075448989868,1.0986262559890747,1.1020159721374512,-33.3472785949707,-7.288725852966309,0.4871096611022949,0.6957212090492249,Talking_-10_tensors
25,1.5261651277542114,3.695373773574829,1.3970688581466675,3.412055730819702,1.032883644104004,1.0703318119049072,-41.116127014160156,-8.415852546691895,0.3109150528907776,0.49283280968666077,Talking_-10_tensors
26,1.6428170204162598,4.284910202026367,1.5461652278900146,4.045534610748291,1.0495864152908325,1.0785505771636963,-39.856666564941406,-11.85927963256836,0.4278564453125,0.6510093808174133,Talking_-10_tensors
27,1.5967355966567993,4.147467613220215,1.7928688526153564,5.331218242645264,1.034662127494812,1.071709156036377,-29.10886573791504,-9.841541290283203,0.49554675817489624,0.6615463495254517,Talking_-10_tensors
28,1.0937800407409668,1.8598179817199707,1.1009382009506226,3.0190889835357666,1.0580863952636719,1.1188501119613647,-39.31290817260742,-13.840448379516602,0.43351438641548157,0.6411867141723633,Talking_-10_tensors
29,1.2940988540649414,2.7084643840789795,2.03682804107666,6.483983993530273,1.0518178939819336,1.0866891145706177,-34.769474029541016,-16.631616592407227,0.27532029151916504,0.37372109293937683,Talking_-10_tensors
30,1.3727906942367554,3.1570911407470703,1.8718681335449219,6.849554538726807,1.0690611600875854,1.0638844966888428,-31.927188873291016,-9.745098114013672,0.3877296447753906,0.5815684795379639,Talking_-10_tensors
31,1.442563772201538,3.5671353340148926,2.367769718170166,10.011672019958496,1.0983625650405884,1.0873910188674927,-38.19869613647461,-9.66012191772461,0.27107784152030945,0.49436503648757935,Talking_-10_tensors
32,1.5838572978973389,4.091885566711426,2.00917911529541,6.738940238952637,1.057841181755066,2.0031957626342773,-34.71024703979492,-15.113762855529785,0.23238295316696167,0.45358729362487793,Talking_-10_tensors
